Player,Position,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Rd 1,Rd 2,Rd 3,Totals,Average
"Herbert, Justin",QB,23.26,23.46,12.58,21.1,14.42,8.42,18.12,,12.1,12.4,18.7,28.76,18.1,,,,,211.42,17.62
"Elliott, Ezekiel",RB,4.9,4.9,13.5,8.1,7.8,14.6,17.7,,,,16.7,15.5,15.1,,,,,118.8,11.88
"Mitchell, Elijah",RB,4.1,,,,,,,,,,,,,,,,,4.1,4.10
"Diggs, Stefon",WR,18.2,32.8,7.4,6.2,16.2,20.8,,16.8,9.3,12.8,10.8,13.7,15.2,,,,,180.2,15.02
"Evans, Mike",WR,14.1,6.1,,22.3,8.1,4.2,9.6,12.3,4,5.4,,3.1,5.9,,,,,95.1,8.65
"Andrews, Mark",TE,5.2,16.7,20.9,1.5,14.9,16.6,0.4,3.3,,,6.3,7,5.4,,,,,98.2,8.93
CEH,RB,19.4,11.8,9.9,21.4,3.5,3.3,9.2,,1.9,,,,,,,,,80.4,10.05
Oluokun,DP,14,4.5,10.5,18,9,15,,,,,,,,,,,,71,11.83
Bills D,D/ST,11,20,4,6,7,3,,2,2,-1,3,6,5,,,,,68,5.67
Matt Gay,K,6,7,9,,,,,,,,,,,,,,,22,7.33
"Edmonds, Chase",RB,6.5,4.1,14.7,8,0.1,,,,,,,,,,,,,33.4,6.68
"Watt, TJ",DP,8,,,,,,,,,,,,,,,,,8,8.00
"Harris, Damien",RB,5.8,14.7,10.6,14.4,1.2,,1,5.2,,,9.3,1.6,,,,,,63.8,7.09
"James, Derwin",DP,6,10.5,11.5,,,,,,,,,,,,,,,28,9.33
"Valdez-Scantling, Marquez",WR,4.1,1.3,,,,,,,,,,,,,,,,5.4,2.70
"Robinson, James",RB,18.9,13.8,17.6,2.9,3.9,5.5,,1.7,11.3,,1,,,,,,,76.6,8.51
"Meyers, Jacobi",WR,6.2,9.5,,,,,,,,,,,,,,,,15.7,7.85
"Cooks, Brandin",WR,,5.4,2.2,11.7,2,,,,,,,,,,,,,21.3,5.33
