Player,"Herbert, Justin","Elliott, Ezekiel","Mitchell, Elijah","Diggs, Stefon","Evans, Mike","Andrews, Mark",CEH,Oluokun,Bills D,Matt Gay,"Edmonds, Chase","Watt, TJ","Harris, Damien","James, Derwin","Valdez-Scantling, Marquez","Robinson, James","Meyers, Jacobi","Cooks, Brandin","Brady, Tom","Jack, Myles","Succop, Ryan","Mattison, Alexander","Hollins, Mack","Maher, Brett","Murray, Latavius","Walker III, Kyle","Franklin, Zaire","Aiyuk, Brandon",Dolphins D,"Pierce, Alec","Campbell, Parris","Knox, Dalton","Drake, Kenyon","Zeurlein, Greg","Fields, Justin","Peoples-Jones, Donovan","Allgeier, Tyler","Schultz, Dalton","Watson, Christian","Folk, Nick","White, Rachaad","Homer, Travis","Warren, Jaylen",Jordan Mason,"Jewell, Josey",Draft Day Points,Waiver Points,Draft Day Percentage of total,Waiver Percentage of total,Points Scored,Projected Points,Performance vs. Projected,Win(1) or Loss(0),Max lineup potential ,Matchup points loss,Matchup efficiency
Week 1,23.26,4.9,4.1,18.2,14.1,5.2,19.4,14,11,6,6.5,8,5.8,6,4.1,18.9,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.16,0,1.00,0.00,120.16,108.2,11.96,1,137.56,-17.4,0.87
Week 2,23.46,4.9,,32.8,6.1,16.7,11.8,4.5,20,7,4.1,,14.7,10.5,1.3,13.8,9.5,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.06,0,1.00,0.00,141.06,104.8,36.26,1,154.26,-13.2,0.91
Week 3,12.58,13.5,,7.4,,20.9,9.9,10.5,4,9,14.7,,10.6,11.5,,17.6,,2.2,14.74,,,,,,,,,,,,,,,,,,,,,,,,,,,105.38,2.2,0.98,0.02,107.58,105.7,1.88,1,115.54,-7.96,0.93
Week 4,21.1,8.1,,6.2,22.3,1.5,21.4,18,6,,8,,14.4,,,2.9,,11.7,25.4,11,8,7.8,3.3,,,,,,,,,,,,,,,,,,,,,,,82.5,19,0.81,0.19,101.5,104.3,-2.8,1,123.4,-21.9,0.82
Week 5,14.42,7.8,,16.2,8.1,14.9,3.5,9,7,,0.1,,1.2,,,3.9,,2,19.74,7,,4,,11,,,,,,,,,,,,,,,,,,,,,,78.22,11,0.88,0.12,89.22,112.4,-23.18,0,101.64,-12.42,0.88
Week 6,8.42,14.6,,20.8,4.2,16.6,3.3,15,3,,,,,,,5.5,,,13.72,,,0.3,,4,6.4,17,14.5,,,,,,,,,,,,,,,,,,,77.5,34.72,0.69,0.31,112.22,100.4,11.82,1,115.32,-3.1,0.97
Week 7,18.12,17.7,,,9.6,0.4,9.2,,,,,,1,,,,,,11.7,,,,,6,8.3,28.7,8.5,9.2,9,3.7,,,,,,,,,,,,,,,,46.82,61.4,0.43,0.57,108.22,106.4,1.82,1,116.42,-8.2,0.93
Week 8,,,,16.8,12.3,3.3,,,2,,,,5.2,,,1.7,,,17.1,,,,,7,11.9,11.2,9,14.1,,6.5,7.1,,,,,,,,,,,,,,,34.4,70.3,0.33,0.67,104.7,99.7,5,0,104.7,0,1.00
Week 9,12.1,,,9.3,4,,1.9,,2,,,,,,,11.3,,,,,,,,,,24.9,6.5,,,,,2.5,22.9,10,42.72,,,,,,,,,,,29.3,66.8,0.30,0.70,96.1,97,-0.9,0,144.12,-48.02,0.67
Week 10,12.4,,,12.8,5.4,,,,-1,,,,,,,,,,,,,,,4,,7.2,11.5,6.4,,,,,,,39.38,9.9,0.3,11.4,,,,,,,,17.2,80.18,0.18,0.82,97.38,97.2,0.18,0,97.38,0,1.00
Week 11,18.7,16.7,,10.8,,6.3,,,3,,,,9.3,,,1,,,,,,,,,,,18,14,,,,,5.3,,22.62,12.1,,,17.1,2,,,,,,37.8,73.72,0.34,0.66,111.52,97.2,14.32,1,117.12,-5.6,0.95
Week 12,28.76,15.5,,13.7,3.1,7,,,6,,,,1.6,,,,,,,,6,,,,,15.9,14,6.5,,,1.4,,,,,1.6,,,17,,11.9,,,,,74.06,47.8,0.61,0.39,121.86,109.9,11.96,1,135.76,-13.9,0.90
Week 13,18.1,15.1,,15.2,5.9,5.4,,,5,,,,,,,,,,,,5,,,,,3.6,12,5.6,,,5.5,,,,19.26,11.9,,,21.4,,12.4,,1.9,,,58.8,47.6,0.55,0.45,106.4,103.8,2.6,1,122.66,-16.26,0.87
Totals,211.42,118.8,4.1,180.2,95.1,98.2,80.4,71,68,22,33.4,8,63.8,28,5.4,76.6,15.7,21.3,102.4,18,19,12.1,3.3,32,26.6,108.5,94,55.8,9,10.2,14,2.5,28.2,10,123.98,35.5,0.3,11.4,55.5,2,24.3,0,1.9,0,0,903.2,514.72,0.64,0.36,1417.92,1347,70.92,9,1585.88,-167.96,11.71
Average,17.62,11.88,4.10,15.02,8.65,8.93,10.05,11.83,5.67,7.33,6.68,8.00,7.09,9.33,2.70,8.51,7.85,5.33,17.07,9.00,6.33,4.03,3.30,6.40,8.87,15.50,11.75,9.30,9.00,5.10,4.67,2.50,14.10,10.00,31.00,8.88,0.30,11.40,18.50,2.00,12.15,#DIV/0!,1.90,#DIV/0!,#DIV/0!,69.48,39.59,,,109.07,103.62,5.46,0.692,121.99,-12.92,0.90
